"id","code","name","district_id:id"
"neighborhood_Amón_Carmen_San_José_SJ","01","SAN JOSÉ (parte)","district_Carmen_San_José_SJ"
"neighborhood_Aranjuez_Carmen_San_José_SJ","02","Amón","district_Carmen_San_José_SJ"
"neighborhood_California_(parte)_Carmen_San_José_SJ","03","Aranjuez","district_Carmen_San_José_SJ"
"neighborhood_Carmen_Carmen_San_José_SJ","04","California (parte)","district_Carmen_San_José_SJ"
"neighborhood_Empalme_Carmen_San_José_SJ","05","Carmen","district_Carmen_San_José_SJ"
"neighborhood_Escalante_Carmen_San_José_SJ","06","Empalme","district_Carmen_San_José_SJ"
"neighborhood_Otoya__Carmen_San_José_SJ","07","Escalante","district_Carmen_San_José_SJ"
"neighborhood_Bajos_de_la_Unión_Merced_San_José_SJ","01","SAN JOSÉ (parte)","district_Merced_San_José_SJ"
"neighborhood_Claret_Merced_San_José_SJ","02","Bajos de la Unión","district_Merced_San_José_SJ"
"neighborhood_Cocacola_Merced_San_José_SJ","03","Claret","district_Merced_San_José_SJ"
"neighborhood_Iglesias_Flores_Merced_San_José_SJ","04","Cocacola","district_Merced_San_José_SJ"
"neighborhood_Mantica_Merced_San_José_SJ","05","Iglesias Flores","district_Merced_San_José_SJ"
"neighborhood_México_Merced_San_José_SJ","06","Mantica","district_Merced_San_José_SJ"
"neighborhood_Paso_de_la_Vaca_Merced_San_José_SJ","07","México","district_Merced_San_José_SJ"
"neighborhood_Pitahaya__Merced_San_José_SJ","08","Paso de la Vaca","district_Merced_San_José_SJ"
"neighborhood_Almendares_Hospital_San_José_SJ","01","SAN JOSÉ (parte)","district_Hospital_San_José_SJ"
"neighborhood_Ángeles_Hospital_San_José_SJ","02","Almendares","district_Hospital_San_José_SJ"
"neighborhood_Bolívar_Hospital_San_José_SJ","03","Ángeles","district_Hospital_San_José_SJ"
"neighborhood_Carit_Hospital_San_José_SJ","04","Bolívar","district_Hospital_San_José_SJ"
"neighborhood_Colón_(parte)_Hospital_San_José_SJ","05","Carit","district_Hospital_San_José_SJ"
"neighborhood_Corazón_de_Jesús_Hospital_San_José_SJ","06","Colón (parte)","district_Hospital_San_José_SJ"
"neighborhood_Cristo_Rey_Hospital_San_José_SJ","07","Corazón de Jesús","district_Hospital_San_José_SJ"
"neighborhood_Cuba_Hospital_San_José_SJ","08","Cristo Rey","district_Hospital_San_José_SJ"
"neighborhood_Dolorosa_(parte)_Hospital_San_José_SJ","09","Cuba","district_Hospital_San_José_SJ"
"neighborhood_Merced_Hospital_San_José_SJ","10","Dolorosa (parte)","district_Hospital_San_José_SJ"
"neighborhood_Pacífico_(parte)_Hospital_San_José_SJ","11","Merced","district_Hospital_San_José_SJ"
"neighborhood_Pinos_Hospital_San_José_SJ","12","Pacífico (parte)","district_Hospital_San_José_SJ"
"neighborhood_Salubridad_Hospital_San_José_SJ","13","Pinos","district_Hospital_San_José_SJ"
"neighborhood_San_Bosco_Hospital_San_José_SJ","14","Salubridad","district_Hospital_San_José_SJ"
"neighborhood_San_Francisco_Hospital_San_José_SJ","15","San Bosco","district_Hospital_San_José_SJ"
"neighborhood_Santa_Lucía_Hospital_San_José_SJ","16","San Francisco","district_Hospital_San_José_SJ"
"neighborhood_Silos__Hospital_San_José_SJ","17","Santa Lucía","district_Hospital_San_José_SJ"
"neighborhood_Bellavista_Catedral_San_José_SJ","01","SAN JOSÉ (parte)","district_Catedral_San_José_SJ"
"neighborhood_California_(parte)_Catedral_San_José_SJ","02","Bellavista","district_Catedral_San_José_SJ"
"neighborhood_Carlos_María_Jiménez_Catedral_San_José_SJ","03","California (parte)","district_Catedral_San_José_SJ"
"neighborhood_Dolorosa_(parte)_Catedral_San_José_SJ","04","Carlos María Jiménez","district_Catedral_San_José_SJ"
"neighborhood_Dos_Pinos_Catedral_San_José_SJ","05","Dolorosa (parte)","district_Catedral_San_José_SJ"
"neighborhood_González_Lahmann_Catedral_San_José_SJ","07","Francisco Peralta (parte)","district_Catedral_San_José_SJ"
"neighborhood_González_Víquez_Catedral_San_José_SJ","08","González Lahmann","district_Catedral_San_José_SJ"
"neighborhood_Güell_Catedral_San_José_SJ","09","González Víquez","district_Catedral_San_José_SJ"
"neighborhood_La_Cruz_Catedral_San_José_SJ","10","Güell","district_Catedral_San_José_SJ"
"neighborhood_Lomas_de_Ocloro_Catedral_San_José_SJ","11","La Cruz","district_Catedral_San_José_SJ"
"neighborhood_Luján_Catedral_San_José_SJ","12","Lomas de Ocloro","district_Catedral_San_José_SJ"
"neighborhood_Milflor_Catedral_San_José_SJ","13","Luján","district_Catedral_San_José_SJ"
"neighborhood_Naciones_Unidas_Catedral_San_José_SJ","14","Milflor","district_Catedral_San_José_SJ"
"neighborhood_Pacífico_(parte)_Catedral_San_José_SJ","15","Naciones Unidas","district_Catedral_San_José_SJ"
"neighborhood_San_Cayetano_(parte)_Catedral_San_José_SJ","16","Pacífico (parte)","district_Catedral_San_José_SJ"
"neighborhood_Soledad_Catedral_San_José_SJ","17","San Cayetano (parte)","district_Catedral_San_José_SJ"
"neighborhood_Tabacalera_Catedral_San_José_SJ","18","Soledad","district_Catedral_San_José_SJ"
"neighborhood_Vasconia__Catedral_San_José_SJ","19","Tabacalera","district_Catedral_San_José_SJ"
"neighborhood_Alborada_Zapote_San_José_SJ","01","ZAPOTE centro","district_Zapote_San_José_SJ"
"neighborhood_Calderón_Muñoz_Zapote_San_José_SJ","02","Alborada","district_Zapote_San_José_SJ"
"neighborhood_Cerrito_Zapote_San_José_SJ","03","Calderón Muñoz","district_Zapote_San_José_SJ"
"neighborhood_Córdoba_Zapote_San_José_SJ","04","Cerrito","district_Zapote_San_José_SJ"
"neighborhood_Gloria_Zapote_San_José_SJ","05","Córdoba","district_Zapote_San_José_SJ"
"neighborhood_Jardín_Zapote_San_José_SJ","06","Gloria","district_Zapote_San_José_SJ"
"neighborhood_Luisas_Zapote_San_José_SJ","07","Jardín","district_Zapote_San_José_SJ"
"neighborhood_Mangos_Zapote_San_José_SJ","08","Luisas","district_Zapote_San_José_SJ"
"neighborhood_Montealegre_Zapote_San_José_SJ","09","Mangos","district_Zapote_San_José_SJ"
"neighborhood_Moreno_Cañas_Zapote_San_José_SJ","10","Montealegre","district_Zapote_San_José_SJ"
"neighborhood_Quesada_Durán_Zapote_San_José_SJ","11","Moreno Cañas","district_Zapote_San_José_SJ"
"neighborhood_San_Dimas_Zapote_San_José_SJ","12","Quesada Durán","district_Zapote_San_José_SJ"
"neighborhood_San_Gerardo_(parte)_Zapote_San_José_SJ","13","San Dimas","district_Zapote_San_José_SJ"
"neighborhood_Trébol_Zapote_San_José_SJ","14","San Gerardo (parte)","district_Zapote_San_José_SJ"
"neighborhood_Ujarrás_Zapote_San_José_SJ","15","Trébol","district_Zapote_San_José_SJ"
"neighborhood_Vista_Hermosa_Zapote_San_José_SJ","16","Ujarrás","district_Zapote_San_José_SJ"
"neighborhood_Yoses_Sur_Zapote_San_José_SJ","17","Vista Hermosa","district_Zapote_San_José_SJ"
"neighborhood_Zapote_(centro)__Zapote_San_José_SJ","18","Yoses Sur","district_Zapote_San_José_SJ"
"neighborhood_Ahogados_(parte)_San_Francisco_De_Dos_Ríos_San_José_SJ","01","SAN FRANCISCO DE DOS RÍOS centro","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Bosque_San_Francisco_De_Dos_Ríos_San_José_SJ","02","Ahogados (parte)","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Cabañas_San_Francisco_De_Dos_Ríos_San_José_SJ","03","Bosque","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Camelias_San_Francisco_De_Dos_Ríos_San_José_SJ","04","Cabañas","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Coopeguaria_San_Francisco_De_Dos_Ríos_San_José_SJ","05","Camelias","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Faro_San_Francisco_De_Dos_Ríos_San_José_SJ","06","Coopeguaria","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Hispano_San_Francisco_De_Dos_Ríos_San_José_SJ","08","Fátima","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_I_Griega_San_Francisco_De_Dos_Ríos_San_José_SJ","09","Hispano","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Lincoln_San_Francisco_De_Dos_Ríos_San_José_SJ","10","I Griega","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Lomas_de_San_Francisco_San_Francisco_De_Dos_Ríos_San_José_SJ","11","Lincoln","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Maalot_San_Francisco_De_Dos_Ríos_San_José_SJ","12","Lomas de San Francisco","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Méndez_San_Francisco_De_Dos_Ríos_San_José_SJ","13","Maalot","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Pacífica_San_Francisco_De_Dos_Ríos_San_José_SJ","14","Méndez","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_San_Francisco_de_Dos_Ríos_(centro)_San_Francisco_De_Dos_Ríos_San_José_SJ","15","Pacífica","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Sauces_San_Francisco_De_Dos_Ríos_San_José_SJ","16","Sauces","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Saucitos_San_Francisco_De_Dos_Ríos_San_José_SJ","17","Saucitos","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Zurquí__San_Francisco_De_Dos_Ríos_San_José_SJ","18","Zurquí","district_San_Francisco_De_Dos_Ríos_San_José_SJ"
"neighborhood_Alborada_Uruca_San_José_SJ","01","URUCA centro","district_Uruca_San_José_SJ"
"neighborhood_Ánimas_Uruca_San_José_SJ","02","Alborada","district_Uruca_San_José_SJ"
"neighborhood_Árboles_Uruca_San_José_SJ","03","Ánimas","district_Uruca_San_José_SJ"
"neighborhood_Bajos_del_Torres_Uruca_San_José_SJ","04","Árboles","district_Uruca_San_José_SJ"
"neighborhood_Carranza_Uruca_San_José_SJ","05","Bajos del Torres","district_Uruca_San_José_SJ"
"neighborhood_Corazón_de_Jesús_Uruca_San_José_SJ","06","Carranza","district_Uruca_San_José_SJ"
"neighborhood_Cristal_Uruca_San_José_SJ","07","Corazón de Jesús","district_Uruca_San_José_SJ"
"neighborhood_Carvajal_Castro_Uruca_San_José_SJ","08","Cristal","district_Uruca_San_José_SJ"
"neighborhood_Jardines_de_Autopista_Uruca_San_José_SJ","09","Carvajal Castro","district_Uruca_San_José_SJ"
"neighborhood_La_Caja_Uruca_San_José_SJ","10","Jardines de Autopista","district_Uruca_San_José_SJ"
"neighborhood_La_Carpio_Uruca_San_José_SJ","11","La Caja","district_Uruca_San_José_SJ"
"neighborhood_Magnolia_Uruca_San_José_SJ","12","La Carpio","district_Uruca_San_José_SJ"
"neighborhood_Marimil_Uruca_San_José_SJ","13","Magnolia","district_Uruca_San_José_SJ"
"neighborhood_Monserrat_Uruca_San_José_SJ","14","Marimil","district_Uruca_San_José_SJ"
"neighborhood_Peregrina_Uruca_San_José_SJ","15","Monserrat","district_Uruca_San_José_SJ"
"neighborhood_Robledal_Uruca_San_José_SJ","16","Peregrina","district_Uruca_San_José_SJ"
"neighborhood_Rossiter_Carballo_Uruca_San_José_SJ","17","Robledal","district_Uruca_San_José_SJ"
"neighborhood_Santander_Uruca_San_José_SJ","18","Rossiter Carballo","district_Uruca_San_José_SJ"
"neighborhood_Saturno_Uruca_San_José_SJ","19","Santander","district_Uruca_San_José_SJ"
"neighborhood_Uruca_(centro)_Uruca_San_José_SJ","20","Saturno","district_Uruca_San_José_SJ"
"neighborhood_Vuelta_del_Virilla__Uruca_San_José_SJ","21","Vuelta del Virilla","district_Uruca_San_José_SJ"
"neighborhood_Américas_Mata_Redonda_San_José_SJ","01","SAN JOSÉ (parte)","district_Mata_Redonda_San_José_SJ"
"neighborhood_Bajo_Cañada_(parte)_Mata_Redonda_San_José_SJ","02","Américas","district_Mata_Redonda_San_José_SJ"
"neighborhood_Balcón_Verde_Mata_Redonda_San_José_SJ","03","Bajo Cañada (parte)","district_Mata_Redonda_San_José_SJ"
"neighborhood_Colón_(parte)_Mata_Redonda_San_José_SJ","04","Balcón Verde","district_Mata_Redonda_San_José_SJ"
"neighborhood_Del_Pino_Mata_Redonda_San_José_SJ","05","Colón (parte)","district_Mata_Redonda_San_José_SJ"
"neighborhood_La_Luisa_Mata_Redonda_San_José_SJ","07","Holanda","district_Mata_Redonda_San_José_SJ"
"neighborhood_La_Salle_Mata_Redonda_San_José_SJ","08","La Luisa","district_Mata_Redonda_San_José_SJ"
"neighborhood_Lomalinda_Mata_Redonda_San_José_SJ","09","La Salle","district_Mata_Redonda_San_José_SJ"
"neighborhood_Morenos_Mata_Redonda_San_José_SJ","10","Lomalinda","district_Mata_Redonda_San_José_SJ"
"neighborhood_Niza_Mata_Redonda_San_José_SJ","11","Morenos","district_Mata_Redonda_San_José_SJ"
"neighborhood_Rancho_Luna_Mata_Redonda_San_José_SJ","12","Niza","district_Mata_Redonda_San_José_SJ"
"neighborhood_Rohrmoser_(parte)_Mata_Redonda_San_José_SJ","13","Rancho Luna","district_Mata_Redonda_San_José_SJ"
"neighborhood_Roma_Mata_Redonda_San_José_SJ","14","Rohrmoser (parte)","district_Mata_Redonda_San_José_SJ"
"neighborhood_Sabana_Mata_Redonda_San_José_SJ","15","Roma","district_Mata_Redonda_San_José_SJ"
"neighborhood_Tovar__Mata_Redonda_San_José_SJ","16","Sabana","district_Mata_Redonda_San_José_SJ"
"neighborhood_Alfa_Pavas_San_José_SJ","01","PAVAS centro","district_Pavas_San_José_SJ"
"neighborhood_Asturias_Pavas_San_José_SJ","02","Alfa","district_Pavas_San_José_SJ"
"neighborhood_Asunción_Pavas_San_José_SJ","03","Asturias","district_Pavas_San_José_SJ"
"neighborhood_Bribrí_Pavas_San_José_SJ","04","Asunción","district_Pavas_San_José_SJ"
"neighborhood_Favorita_Norte_Pavas_San_José_SJ","05","Bribrí","district_Pavas_San_José_SJ"
"neighborhood_Favorita_Sur_Pavas_San_José_SJ","06","Favorita Norte","district_Pavas_San_José_SJ"
"neighborhood_Galicia_Pavas_San_José_SJ","07","Favorita Sur","district_Pavas_San_José_SJ"
"neighborhood_Geroma_Pavas_San_José_SJ","08","Galicia","district_Pavas_San_José_SJ"
"neighborhood_Hispania_Pavas_San_José_SJ","09","Geroma","district_Pavas_San_José_SJ"
"neighborhood_Libertad_Pavas_San_José_SJ","10","Hispania","district_Pavas_San_José_SJ"
"neighborhood_Lomas_del_Río_Pavas_San_José_SJ","11","Libertad","district_Pavas_San_José_SJ"
"neighborhood_Llanos_del_Sol_Pavas_San_José_SJ","12","Lomas del Río","district_Pavas_San_José_SJ"
"neighborhood_María_Reina_Pavas_San_José_SJ","13","Llanos del Sol","district_Pavas_San_José_SJ"
"neighborhood_Metrópolis_Pavas_San_José_SJ","14","María Reina","district_Pavas_San_José_SJ"
"neighborhood_Navarra_Pavas_San_José_SJ","15","Metrópolis","district_Pavas_San_José_SJ"
"neighborhood_Pavas_(centro)_Pavas_San_José_SJ","16","Navarra","district_Pavas_San_José_SJ"
"neighborhood_Pueblo_Nuevo_Pavas_San_José_SJ","17","Pueblo Nuevo","district_Pavas_San_José_SJ"
"neighborhood_Residencial_del_Oeste_Pavas_San_José_SJ","18","Residencial del Oeste","district_Pavas_San_José_SJ"
"neighborhood_Rincón_Grande_Pavas_San_José_SJ","19","Rincón Grande","district_Pavas_San_José_SJ"
"neighborhood_Rohrmoser_(parte)_Pavas_San_José_SJ","20","Rohrmoser (parte)","district_Pavas_San_José_SJ"
"neighborhood_Rotonda_Pavas_San_José_SJ","21","Rotonda","district_Pavas_San_José_SJ"
"neighborhood_San_Pedro_Pavas_San_José_SJ","22","San Pedro","district_Pavas_San_José_SJ"
"neighborhood_Santa_Bárbara_Pavas_San_José_SJ","23","Santa Bárbara","district_Pavas_San_José_SJ"
"neighborhood_Santa_Catalina_Pavas_San_José_SJ","24","Santa Catalina","district_Pavas_San_José_SJ"
"neighborhood_Santa_Fé_Pavas_San_José_SJ","25","Santa Fé","district_Pavas_San_José_SJ"
"neighborhood_Triángulo_Pavas_San_José_SJ","26","Triángulo","district_Pavas_San_José_SJ"
"neighborhood_Villa_Esperanza__Pavas_San_José_SJ","27","Villa Esperanza","district_Pavas_San_José_SJ"
"neighborhood_Belgrano_Hatillo_San_José_SJ","02","Bajo Cañada (parte)","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_Centro_Hatillo_San_José_SJ","03","Belgrano","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_1_Hatillo_San_José_SJ","04","Hatillo 1","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_2_Hatillo_San_José_SJ","05","Hatillo 2","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_3_Hatillo_San_José_SJ","06","Hatillo 3","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_4_Hatillo_San_José_SJ","07","Hatillo 4","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_5_Hatillo_San_José_SJ","08","Hatillo 5","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_6_Hatillo_San_José_SJ","09","Hatillo 6","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_7_Hatillo_San_José_SJ","10","Hatillo 7","district_Hatillo_San_José_SJ"
"neighborhood_Hatillo_8_Hatillo_San_José_SJ","11","Hatillo 8","district_Hatillo_San_José_SJ"
"neighborhood_Quince_de_Setiembre_Hatillo_San_José_SJ","12","Quince de Setiembre","district_Hatillo_San_José_SJ"
